,Title,Detail,new
0,"모두가 함께 하는 축제, NOW. ART FESTIVAL(기념품 제공, 참가비 무료, 광주)","모두가 함께 하는 축제, NOW. ART FESTIVAL이 개최됩니다.
✨누구나 참여가 가능한✨ 특별강의, 캐리커쳐로 만드는 뱃지아트와 형광재료를
직접 체험해보는 예술 체험 프로그램이 진행되오니 많은 관심과 참여부탁드립니다🎈
✔ 일 시: 12월 1일(금) 09:00 ~ 12월 6월(수) 10:00
✔ 장 소: 광주학생교육문화회관 1층 전시실, 5.18 기념문화센터 2층 대동홀
✔ 신청방법: 참가비 무료(프로그램 참여를 원하시는 분은, 아래 링크에서 신청바랍니다.)
https://forms.gle/ff6QiopsQjcq9JcWA
✔ 프로그램: 특별강의, 캐리커쳐로 만드는 뱃지아트와 형광재료를 직접 체험해보는
예술 체험 프로그램, 전시프로그램
※ 12. 1.(금) 전체 프로그램을 참여하는 사람들에게 석식 제공
※ 12. 2.(토) 시각예술 프로그램의 경우, 참여자 모두에게 티셔츠 제공
✔ 문 의: 광주광역시 서구문화원, 062-681-9230
※ 세부 프로그램 아래에 확인하실 수 있습니다.
※ 전시기간 전일 관람객 모두에게 기념품 제공
- 특별강의: 엄마들을 위한 힐링 치유 프로그램(감정 치유 코칭)
- 별난연구 실험실 결과공유회: 예술 강사들이 기획한 교구를 소개하는 프로그램
※ 12. 1.(금) 전체 프로그램을 참여하는 사람들에게 석식 제공
- 프로그램 중복 신청 가능
블랙라이트 예시 사진
※ 시각예술 프로그램의 경우, 참여자 모두에게 티셔츠 제공","모두가 함께 하는 축제, NOW. ART FESTIVAL(기념품 제공, 참가비 무료, 광주) 모두가 함께 하는 축제, NOW. ART FESTIVAL이 개최됩니다.
✨누구나 참여가 가능한✨ 특별강의, 캐리커쳐로 만드는 뱃지아트와 형광재료를
직접 체험해보는 예술 체험 프로그램이 진행되오니 많은 관심과 참여부탁드립니다🎈
✔ 일 시: 12월 1일(금) 09:00 ~ 12월 6월(수) 10:00
✔ 장 소: 광주학생교육문화회관 1층 전시실, 5.18 기념문화센터 2층 대동홀
✔ 신청방법: 참가비 무료(프로그램 참여를 원하시는 분은, 아래 링크에서 신청바랍니다.)
https://forms.gle/ff6QiopsQjcq9JcWA
✔ 프로그램: 특별강의, 캐리커쳐로 만드는 뱃지아트와 형광재료를 직접 체험해보는
예술 체험 프로그램, 전시프로그램
※ 12. 1.(금) 전체 프로그램을 참여하는 사람들에게 석식 제공
※ 12. 2.(토) 시각예술 프로그램의 경우, 참여자 모두에게 티셔츠 제공
✔ 문 의: 광주광역시 서구문화원, 062-681-9230
※ 세부 프로그램 아래에 확인하실 수 있습니다.
※ 전시기간 전일 관람객 모두에게 기념품 제공
- 특별강의: 엄마들을 위한 힐링 치유 프로그램(감정 치유 코칭)
- 별난연구 실험실 결과공유회: 예술 강사들이 기획한 교구를 소개하는 프로그램
※ 12. 1.(금) 전체 프로그램을 참여하는 사람들에게 석식 제공
- 프로그램 중복 신청 가능
블랙라이트 예시 사진
※ 시각예술 프로그램의 경우, 참여자 모두에게 티셔츠 제공"
1,"모두가 함께 하는 축제, NOW. ART FESTIVAL 개최 (기념품 제공, 참가비 무료, 광주)","모두가 함께 하는 축제, NOW. ART FESTIVAL이 개최됩니다.
✨누구나 참여가 가능한✨ 특별강의, 캐리커쳐로 만드는 뱃지아트와 형광재료를
직접 체험해보는 예술 체험 프로그램이 진행되오니 많은 관심과 참여부탁드립니다🎈
✔ 일 시: 12월 1일(금) 09:00 ~ 12월 6월(수) 10:00
✔ 장 소: 광주학생교육문화회관 1층 전시실, 5.18 기념문화센터 2층 대동홀
✔ 신청방법: 참가비 무료(프로그램 참여를 원하시는 분은, 아래 링크에서 신청바랍니다.)
https://forms.gle/ff6QiopsQjcq9JcWA
✔ 프로그램: 특별강의, 캐리커쳐로 만드는 뱃지아트와 형광재료를 직접 체험해보는
예술 체험 프로그램, 전시프로그램
※ 12. 1.(금) 전체 프로그램을 참여하는 사람들에게 석식 제공
※ 12. 2.(토) 시각예술 프로그램의 경우, 참여자 모두에게 티셔츠 제공
✔ 문 의: 광주광역시 서구문화원, 062-681-9230
※ 세부 프로그램 아래에 확인하실 수 있습니다.
※ 전시기간 전일 관람객 모두에게 기념품 제공
- 특별강의: 엄마들을 위한 힐링 치유 프로그램(감정 치유 코칭)
- 별난연구 실험실 결과공유회: 예술 강사들이 기획한 교구를 소개하는 프로그램
※ 12. 1.(금) 전체 프로그램을 참여하는 사람들에게 석식 제공
- 프로그램 중복 신청 가능
블랙라이트 예시 사진
※ 시각예술 프로그램의 경우, 참여자 모두에게 티셔츠 제공","모두가 함께 하는 축제, NOW. ART FESTIVAL 개최 (기념품 제공, 참가비 무료, 광주) 모두가 함께 하는 축제, NOW. ART FESTIVAL이 개최됩니다.
✨누구나 참여가 가능한✨ 특별강의, 캐리커쳐로 만드는 뱃지아트와 형광재료를
직접 체험해보는 예술 체험 프로그램이 진행되오니 많은 관심과 참여부탁드립니다🎈
✔ 일 시: 12월 1일(금) 09:00 ~ 12월 6월(수) 10:00
✔ 장 소: 광주학생교육문화회관 1층 전시실, 5.18 기념문화센터 2층 대동홀
✔ 신청방법: 참가비 무료(프로그램 참여를 원하시는 분은, 아래 링크에서 신청바랍니다.)
https://forms.gle/ff6QiopsQjcq9JcWA
✔ 프로그램: 특별강의, 캐리커쳐로 만드는 뱃지아트와 형광재료를 직접 체험해보는
예술 체험 프로그램, 전시프로그램
※ 12. 1.(금) 전체 프로그램을 참여하는 사람들에게 석식 제공
※ 12. 2.(토) 시각예술 프로그램의 경우, 참여자 모두에게 티셔츠 제공
✔ 문 의: 광주광역시 서구문화원, 062-681-9230
※ 세부 프로그램 아래에 확인하실 수 있습니다.
※ 전시기간 전일 관람객 모두에게 기념품 제공
- 특별강의: 엄마들을 위한 힐링 치유 프로그램(감정 치유 코칭)
- 별난연구 실험실 결과공유회: 예술 강사들이 기획한 교구를 소개하는 프로그램
※ 12. 1.(금) 전체 프로그램을 참여하는 사람들에게 석식 제공
- 프로그램 중복 신청 가능
블랙라이트 예시 사진
※ 시각예술 프로그램의 경우, 참여자 모두에게 티셔츠 제공"
2,지난 주말 ~~ 포항 구룡포 씨푸드 축제 갔다 왔어요 ^^ㅋ,"와 ~~ 진짜 너무 좋았어요 ^^
신랑이랑 둘이서 갔어요 ~ 지난주 날씨는 조금 추웠는데 ㅋㅋ
축제 현장가니 ~~ 추운지도 모르고 잘 놀았네요
과매기가 너무 맛났어요 ~~ 안비리고 쫄깃쫄낏 ~~ ㅎㅎ
술한잔 하며 즐겼네요 ^^
그외에도 먹거리 몇개 먹었구요 ~~
가수는 몇명 왔는데 그중에 박서진 (트롯가수 장구의 신) 기억이 남아요 ㅋㅋ
평소 별 감정 없었는데~~ 무대 보니 @@~~ 완젼 ~~ 노래 잘하고 장구 멋찌게 치데요 ~~ㅋ
다만 말주변은 없는듯 ㅠ 아줌마 팬클럽도 많이 왔구요 ㅎㅎㅎ
숙소는 모텔에 젤 싼방으로 했는데 크기는 컷는데 잡음?이 좀 있어서 별루 였어요
담엔 돈좀 더 주고 자려구요 ㅎ
날씨도 드라이브 하기 좋았고 ~~ 음식도 맛났고 ~~
여러모로 스트레스 확 ~ 날리고 왔어요 ^^
과매기 넘 맛나서 시댁에 갖다 드렸는데~~ 너무 잘 드시더라구요 ^^
특히 어머님 ~~~ㅋㅋ 완전 홀릭 ㅎㅎㅎ
이번주는 친정가서 김장을 ㅠㅠㅋㅋ (참고로 시댁은 김장 안해요 ㅋㅋ)
암튼 지난주 포항 여행가서 ~~
너무 좋았답니다 ^^ㅋ
오후도 홧팅 입니다 ~~","지난 주말 ~~ 포항 구룡포 씨푸드 축제 갔다 왔어요 ^^ㅋ 와 ~~ 진짜 너무 좋았어요 ^^
신랑이랑 둘이서 갔어요 ~ 지난주 날씨는 조금 추웠는데 ㅋㅋ
축제 현장가니 ~~ 추운지도 모르고 잘 놀았네요
과매기가 너무 맛났어요 ~~ 안비리고 쫄깃쫄낏 ~~ ㅎㅎ
술한잔 하며 즐겼네요 ^^
그외에도 먹거리 몇개 먹었구요 ~~
가수는 몇명 왔는데 그중에 박서진 (트롯가수 장구의 신) 기억이 남아요 ㅋㅋ
평소 별 감정 없었는데~~ 무대 보니 @@~~ 완젼 ~~ 노래 잘하고 장구 멋찌게 치데요 ~~ㅋ
다만 말주변은 없는듯 ㅠ 아줌마 팬클럽도 많이 왔구요 ㅎㅎㅎ
숙소는 모텔에 젤 싼방으로 했는데 크기는 컷는데 잡음?이 좀 있어서 별루 였어요
담엔 돈좀 더 주고 자려구요 ㅎ
날씨도 드라이브 하기 좋았고 ~~ 음식도 맛났고 ~~
여러모로 스트레스 확 ~ 날리고 왔어요 ^^
과매기 넘 맛나서 시댁에 갖다 드렸는데~~ 너무 잘 드시더라구요 ^^
특히 어머님 ~~~ㅋㅋ 완전 홀릭 ㅎㅎㅎ
이번주는 친정가서 김장을 ㅠㅠㅋㅋ (참고로 시댁은 김장 안해요 ㅋㅋ)
암튼 지난주 포항 여행가서 ~~
너무 좋았답니다 ^^ㅋ
오후도 홧팅 입니다 ~~"
3,< 안양발도르프 연합상급> 2023 안양 별빛누리 축제에 초대합니다.,,< 안양발도르프 연합상급> 2023 안양 별빛누리 축제에 초대합니다. 
4,국화축제,"밤마실갔는데
조명켜져있구 넘나이쁜♡
지금은 추워져서 끝났겠죵?","국화축제 밤마실갔는데
조명켜져있구 넘나이쁜♡
지금은 추워져서 끝났겠죵?"
5,부산 불꽃축제 다녀오신 분 계세요?,"갈 엄두는 안나서 영상으로 봤는데 너무 이쁘더라고요!!
부산 불꽃축제도 여의도 불꽃축제만큼 한 번 진행할 때 많이 진행하나요?","부산 불꽃축제 다녀오신 분 계세요? 갈 엄두는 안나서 영상으로 봤는데 너무 이쁘더라고요!!
부산 불꽃축제도 여의도 불꽃축제만큼 한 번 진행할 때 많이 진행하나요?"
6,사과 축제가서 사온 사과,"사과 골고루 다 먹어보고 엄청 맛있어서 물어보니 골드사과라 하더라구요~ 빨강사과 아니면 풋사과 이런거만 먹러보다가 골드사과 먹어보니 우와~ 진짜 새콤 달콤 맛있더라고요~ 과육도 단단하고요!!
저희가 마지막 사과 샀는데 진짜 너무 잘 다녀왔네요ㅋㅋ","사과 축제가서 사온 사과 사과 골고루 다 먹어보고 엄청 맛있어서 물어보니 골드사과라 하더라구요~ 빨강사과 아니면 풋사과 이런거만 먹러보다가 골드사과 먹어보니 우와~ 진짜 새콤 달콤 맛있더라고요~ 과육도 단단하고요!!
저희가 마지막 사과 샀는데 진짜 너무 잘 다녀왔네요ㅋㅋ"
7,한우 축제,한우 축제 얘기 들었었는데 언제 어디서 하는 걸까요?,한우 축제 한우 축제 얘기 들었었는데 언제 어디서 하는 걸까요?
8,홍천사과축제?,"홍천 사과 축제 내일까지 한다는데 사과 살만할까요?
괜히 비싸고 맛없는건 아닐지...","홍천사과축제? 홍천 사과 축제 내일까지 한다는데 사과 살만할까요?
괜히 비싸고 맛없는건 아닐지..."
9,집앞에서 하는 동네 가을 축제 나가본다 vs 귀찮다,"집앞에서 하는 동네 가을 축제 나가본다 vs 귀찮다
먼데도 아니고 집앞인데 한번 나가야 봐야 하는거 아닌가요
가족들은 반대를 해서 ㅎㅎ","집앞에서 하는 동네 가을 축제 나가본다 vs 귀찮다 집앞에서 하는 동네 가을 축제 나가본다 vs 귀찮다
먼데도 아니고 집앞인데 한번 나가야 봐야 하는거 아닌가요
가족들은 반대를 해서 ㅎㅎ"
